Date,VOO,SPY,IVV,VXX,HYG,LQD,IEF,CAR,CVNA,AEVA,CYN,IBIT,MSTR
2010-01-04,,85.51564,85.66937,,36.30436,59.86081,63.53082,12.56992,,,,,9.61600
2010-01-05,,85.74201,85.91808,,36.47657,60.14667,63.80980,12.51291,,,,,9.78400
2010-01-06,,85.80237,85.98593,,36.57089,59.96946,63.55228,12.39890,,,,,9.63400
2010-01-07,,86.16456,86.36285,,36.71852,60.04381,63.55228,12.35139,,,,,9.24900
2010-01-08,,86.45130,86.65682,,36.77596,60.17529,63.63094,12.38940,,,,,9.50000
2010-01-11,,86.57202,86.77742,,36.74314,60.23816,63.67385,12.19938,,,,,9.07700
2010-01-12,,85.76465,85.97841,,36.55451,60.35254,64.13167,11.86684,,,,,9.95700
2010-01-13,,86.48905,86.65682,,36.63654,60.10102,63.82408,11.92385,,,,,9.80900
2010-01-14,,86.72294,86.91311,,36.67754,60.31821,64.12450,12.22788,,,,,9.90700
2010-01-15,,85.74957,85.93318,,36.52990,60.29530,64.41061,12.16137,,,,,10.35900
2010-01-19,,86.82104,86.99601,,36.54630,60.34679,64.29617,12.17087,,,,,10.51000
2010-01-20,,85.93816,86.13671,,36.49298,60.30676,64.51786,11.75283,,,,,10.24400
2010-01-21,,84.28568,84.44817,,35.92298,60.46688,64.75392,11.10675,,,,,9.94500
2010-01-22,,82.40678,82.62397,,35.58262,60.37537,64.81116,10.90723,,,,,9.70100
2010-01-25,,82.82937,83.03860,,35.63590,60.36966,64.66811,10.86923,,,,,9.54900
2010-01-26,,82.48225,82.64660,,35.68104,60.20963,64.79686,10.80272,,,,,9.73500
2010-01-27,,82.87464,83.06873,,35.69333,59.99233,64.64664,10.95474,,,,,9.68300
2010-01-28,,81.92385,82.07373,,35.54162,59.90654,64.62517,10.58420,,,,,9.55000
2010-01-29,,81.03347,81.15412,,35.36119,60.28964,64.87550,10.28016,,,,,9.37200
2010-02-01,,82.29359,82.43556,,35.53185,60.02092,64.65306,10.80272,,,,,9.43700
2010-02-02,,83.28966,83.46826,,35.63927,60.21035,64.76074,10.85973,,,,,9.46600
2010-02-03,,82.87464,83.04613,,35.82114,60.14726,64.45214,10.67921,,,,,9.66400
2010-02-04,,80.31663,80.50583,,35.31279,60.14153,64.98316,9.96663,,,,,7.90300
2010-02-05,,80.48264,80.67921,,35.10620,59.95774,65.19130,10.03313,,,,,7.91300
2010-02-08,,79.90162,80.05354,,34.95327,60.01513,65.13390,10.09014,,,,,8.12600
2010-02-09,,80.90522,81.09377,,35.02355,59.87736,64.78219,10.85973,,,,,8.24200
2010-02-10,,80.74673,80.90536,,34.55244,59.41227,64.60281,11.18276,,,,,8.40300
2010-02-11,,81.59187,81.73454,,34.69296,59.55006,64.52390,11.80033,,,,,8.45400
